WT1_mRNA WT2_mRNA Mut1_mRNA Mut2_mRNA WT1_total_RNA WT2_total_RNA Mut1_total_RNA Mut2_total_RNA
ENSMUSG00000026068 1350 1829 568 489 37 39 14 19
ENSMUSG00000026065 0 0 0 0 0 0 0 0
ENSMUSG00000088965 0 0 0 0 0 0 0 0
ENSMUSG00000026062 56 81 57 31 1 1 1 1
ENSMUSG00000041945 186 208 98 186 2 5 2 3
ENSMUSG00000079588 0 0 0 0 0 0 0 0
ENSMUSG00000053640 0 0 0 0 0 0 0 0
ENSMUSG00000060424 0 0 0 0 0 0 0 0
ENSMUSG00000093778 0 0 0 0 0 0 0 0
ENSMUSG00000093436 0 0 0 0 0 0 0 0
ENSMUSG00000045515 0 0 0 0 0 0 0 0
ENSMUSG00000060679 2092 1858 1789 1648 42 53 38 40
ENSMUSG00000077448 3 0 0 5 0 0 0 0
ENSMUSG00000079587 227 180 0 12 0 3 1 0
ENSMUSG00000041907 0 0 0 0 0 0 0 0
ENSMUSG00000089088 0 0 0 0 0 0 0 0
ENSMUSG00000070939 2160 2151 2045 2280 46 36 51 71
ENSMUSG00000041878 22 10 17 18 1 2 0 0
ENSMUSG00000010290 1407 1352 1232 1253 16 25 20 24
ENSMUSG00000008136 129 167 260 197 14 11 13 15
ENSMUSG00000067579 870 774 748 829 15 13 6 20
ENSMUSG00000066877 1151 1209 1331 1568 46 33 41 68
ENSMUSG00000026051 0 14 2 9 0 1 0 1
ENSMUSG00000057363 1597 1309 1649 1333 29 31 21 30
ENSMUSG00000090243 21 21 5 14 1 4 1 0
ENSMUSG00000088848 0 0 0 0 0 0 0 0
ENSMUSG00000077132 0 0 0 0 0 0 0 0
ENSMUSG00000041763 3642 3561 3493 3469 86 82 69 101
ENSMUSG00000047343 9 18 3 13 4 0 5 4
ENSMUSG00000090106 0 0 11 0 0 0 0 0
ENSMUSG00000091844 12 13 6 18 0 0 2 0
ENSMUSG00000026049 967 777 988 671 15 19 14 16
ENSMUSG00000026047 1631 1521 1497 1631 27 36 26 30
ENSMUSG00000041684 826 1005 845 812 18 17 18 17
ENSMUSG00000026048 725 894 553 824 22 19 19 11
ENSMUSG00000046828 0 0 0 0 0 0 0 0
ENSMUSG00000089703 0 0 0 0 0 0 0 0
ENSMUSG00000078019 0 0 0 0 0 0 0 0
ENSMUSG00000056870 278 353 159 156 7 7 3 3
ENSMUSG00000089877 5 0 0 0 0 1 0 1
ENSMUSG00000026043 24 35 5 5 0 2 0 0
ENSMUSG00000026042 40 32 44 70 3 1 1 1
ENSMUSG00000065010 0 0 0 0 0 0 0 0
ENSMUSG00000065255 0 0 0 0 0 0 0 0
ENSMUSG00000087764 0 0 0 0 0 0 0 0
ENSMUSG00000025995 2483 2228 2186 1984 44 39 43 46
ENSMUSG00000093391 0 5 2 4 0 0 0 0
ENSMUSG00000084817 1751 1164 1763 1247 50 31 37 42
ENSMUSG00000091090 2 0 0 1 0 0 0 0
ENSMUSG00000025993 1084 803 799 472 39 20 19 12
ENSMUSG00000070896 2 1 2 0 0 0 0 0
