WT1_mRNA WT2_mRNA Mut1_mRNA Mut2_mRNA WT1_total_RNA WT2_total_RNA Mut1_total_RNA Mut2_total_RNA
ENSMUSG00000068245 60 50 65 58 1 0 0 1
ENSMUSG00000091144 135 142 136 131 2 2 3 1
ENSMUSG00000071350 752 853 603 707 18 12 23 20
ENSMUSG00000089643 0 0 8 0 0 0 1 0
ENSMUSG00000021981 1600 1711 1552 1574 29 26 33 31
ENSMUSG00000021982 1604 1678 1145 1333 37 15 38 24
ENSMUSG00000044461 112 88 867 1024 8 8 20 16
ENSMUSG00000021983 173 101 190 456 6 4 9 15
ENSMUSG00000087286 19 29 27 38 0 5 0 3
ENSMUSG00000086112 0 0 0 0 0 0 0 0
ENSMUSG00000075288 0 0 0 13 0 0 0 0
ENSMUSG00000072068 0 0 0 0 0 0 0 1
ENSMUSG00000063895 2047 2186 1940 2197 44 43 31 65
ENSMUSG00000076270 0 0 0 0 0 0 0 0
ENSMUSG00000021987 2665 3113 2655 3247 34 44 40 70
ENSMUSG00000021986 0 2 0 0 0 1 0 0
ENSMUSG00000021990 2779 2476 1965 1984 55 48 56 58
ENSMUSG00000071347 0 1 0 0 0 0 0 0
ENSMUSG00000084951 0 4 0 0 0 0 0 0
ENSMUSG00000021993 1465 1256 1143 934 34 20 22 22
ENSMUSG00000060548 35 9 16 16 0 0 0 1
ENSMUSG00000048279 2568 3684 1738 2939 97 87 77 92
ENSMUSG00000035296 0 5 0 0 0 0 0 0
ENSMUSG00000043157 534 620 699 685 7 15 5 5
ENSMUSG00000021928 560 647 435 526 7 11 11 12
ENSMUSG00000089253 1 0 0 2 0 0 0 0
ENSMUSG00000021929 3691 4007 3539 3653 71 55 78 75
ENSMUSG00000058518 0 2 10 0 0 0 0 0
ENSMUSG00000021930 620 638 466 429 9 11 10 15
ENSMUSG00000035235 564 643 348 317 12 12 5 7
ENSMUSG00000046168 16 35 11 44 0 2 0 1
ENSMUSG00000087313 165 212 227 353 25 25 42 61
ENSMUSG00000092995 7 22 20 12 1 0 0 0
ENSMUSG00000093007 0 0 0 0 0 0 0 0
ENSMUSG00000080654 0 0 0 0 0 0 0 0
ENSMUSG00000048281 94 82 128 98 2 2 0 1
ENSMUSG00000021932 2239 2200 2207 1933 33 30 36 38
ENSMUSG00000021933 0 3 34 2 0 0 0 0
ENSMUSG00000064556 0 0 0 0 0 0 0 0
ENSMUSG00000035184 13 6 17 1 2 0 0 1
ENSMUSG00000077498 0 0 0 0 0 0 0 0
ENSMUSG00000091155 54 74 57 20 1 1 2 1
ENSMUSG00000089531 0 0 0 0 0 0 0 0
ENSMUSG00000035161 1952 2892 1898 2748 56 85 67 109
ENSMUSG00000085212 5 0 0 7 0 1 0 3
ENSMUSG00000090878 4 2 2 7 1 0 1 0
ENSMUSG00000014547 435 738 257 472 22 27 8 19
ENSMUSG00000084465 0 0 0 0 0 0 0 0
ENSMUSG00000075574 0 0 0 0 0 0 0 0
ENSMUSG00000075573 0 0 0 0 0 0 0 0
ENSMUSG00000075572 0 0 0 0 0 0 0 0
ENSMUSG00000075571 0 0 0 0 0 0 0 0
ENSMUSG00000054763 0 0 0 0 0 0 0 0
ENSMUSG00000064399 0 0 0 0 0 0 0 0
ENSMUSG00000021939 9298 8504 8149 7362 231 162 174 180
ENSMUSG00000021273 633 626 571 573 25 16 18 20
ENSMUSG00000035121 82 131 17 12 0 1 0 1
ENSMUSG00000021944 53 45 79 60 8 1 1 10
ENSMUSG00000014453 3 11 0 0 0 0 0 0
ENSMUSG00000035095 409 455 37 64 9 17 1 3
ENSMUSG00000021953 0 0 0 0 0 0 0 0
ENSMUSG00000093611 0 0 0 0 0 0 0 0
ENSMUSG00000090374 0 0 0 0 0 0 0 0
ENSMUSG00000035078 1959 1924 1299 1697 36 52 51 46
ENSMUSG00000087652 14 24 0 0 0 1 0 0
ENSMUSG00000035067 261 343 132 97 7 5 2 9
ENSMUSG00000076049 0 0 0 0 0 0 0 0
ENSMUSG00000021958 731 474 475 537 6 8 5 10
ENSMUSG00000063060 2 3 0 16 0 0 0 0
ENSMUSG00000021961 0 0 0 0 0 0 0 0
ENSMUSG00000046049 0 0 0 0 0 0 0 0
ENSMUSG00000034623 0 0 0 0 0 0 0 0
ENSMUSG00000052099 0 11 0 6 0 1 0 0
ENSMUSG00000091686 0 0 0 0 0 0 0 0
ENSMUSG00000021966 1 2 3 0 0 0 0 0
ENSMUSG00000090785 13 2 0 0 0 0 0 1
ENSMUSG00000054733 1942 1733 1316 1168 21 25 25 24
ENSMUSG00000091456 0 0 0 0 0 0 0 0
ENSMUSG00000065597 0 0 0 0 0 0 0 0
ENSMUSG00000092972 0 0 0 0 0 0 0 0
ENSMUSG00000060012 1468 2141 1445 2535 50 68 72 121
ENSMUSG00000064442 2 0 0 0 0 0 0 1
ENSMUSG00000021972 2793 3534 2432 3335 100 84 75 124
ENSMUSG00000021975 2194 2128 1843 1936 47 35 33 46
ENSMUSG00000021978 5257 5941 3200 3925 138 166 89 126
ENSMUSG00000092893 0 15 9 0 0 0 0 0
ENSMUSG00000007989 107 174 24 8 3 3 0 0
ENSMUSG00000034532 57 65 0 0 1 1 0 0
ENSMUSG00000034522 4202 4502 3608 4081 83 96 87 89
ENSMUSG00000045731 0 0 12 0 1 0 1 0
ENSMUSG00000022031 5199 4822 4574 4304 102 104 77 132
ENSMUSG00000061356 16 84 0 28 0 1 0 0
ENSMUSG00000022032 11 10 0 1 0 0 0 0
ENSMUSG00000022033 2218 2040 2008 1488 30 27 25 34
ENSMUSG00000022034 991 1159 1064 1032 14 13 14 18
ENSMUSG00000022035 982 876 1001 821 15 18 12 19
ENSMUSG00000034463 179 189 301 175 18 14 4 26
ENSMUSG00000022037 14447 14792 22879 21097 1823 976 969 1062
ENSMUSG00000034450 50 26 4 0 0 0 0 0
ENSMUSG00000022039 15 36 0 0 1 0 0 0
ENSMUSG00000068165 0 0 0 0 0 0 0 0
ENSMUSG00000022040 92 34 4 15 2 1 0 0
ENSMUSG00000022041 19 23 4 35 2 1 2 4
ENSMUSG00000059456 6910 8496 4820 6947 202 157 109 220
ENSMUSG00000085984 3 6 3 15 0 0 2 1
ENSMUSG00000022043 5895 5329 5541 5744 147 142 133 150
ENSMUSG00000022044 4 0 0 0 0 0 0 0
ENSMUSG00000088737 0 0 0 0 0 0 0 0
ENSMUSG00000045875 0 0 0 0 0 0 0 0
ENSMUSG00000057913 0 0 0 0 0 0 0 0
ENSMUSG00000022048 1609 1473 1589 1334 75 81 97 109
ENSMUSG00000075553 9 12 11 0 2 1 1 3
ENSMUSG00000046204 0 0 0 0 0 0 0 0
ENSMUSG00000044480 0 0 0 0 0 0 0 0
ENSMUSG00000065673 1 2 7 4 0 0 0 1
ENSMUSG00000022051 2590 2271 2724 2320 47 33 48 50
ENSMUSG00000022052 3286 3243 2781 2883 89 63 70 88
ENSMUSG00000093744 0 0 0 0 0 0 0 0
ENSMUSG00000022053 0 5 0 0 0 0 0 0
ENSMUSG00000080432 0 0 0 0 0 0 0 0
ENSMUSG00000075549 0 0 0 0 0 0 0 0
ENSMUSG00000093386 0 0 0 0 0 0 0 0
ENSMUSG00000093472 0 0 0 0 0 0 0 0
ENSMUSG00000093634 0 0 0 0 0 0 0 0
ENSMUSG00000077647 0 0 0 0 0 0 0 0
ENSMUSG00000093726 259 136 210 117 1 4 3 6
ENSMUSG00000048922 2239 2500 2047 2165 42 61 67 72
ENSMUSG00000034327 1152 1203 1185 1185 24 28 25 41
ENSMUSG00000015812 41 66 12 76 2 1 0 5
ENSMUSG00000044447 2194 2790 1055 1198 51 67 41 55
ENSMUSG00000022054 0 0 0 0 0 0 0 0
ENSMUSG00000022055 0 3 0 0 0 0 0 0
ENSMUSG00000087772 0 0 0 0 0 0 0 0
ENSMUSG00000022056 0 0 0 0 0 0 0 0
ENSMUSG00000022057 0 0 0 0 0 1 0 0
ENSMUSG00000014725 0 0 0 0 0 0 1 0
ENSMUSG00000014813 69 36 80 117 7 8 6 4
ENSMUSG00000091986 19 14 20 15 0 0 0 0
ENSMUSG00000092499 0 0 0 0 0 0 0 0
ENSMUSG00000044186 0 0 0 0 0 0 0 0
ENSMUSG00000022061 0 0 0 0 0 0 0 0
ENSMUSG00000034248 4860 5137 4753 5997 106 91 101 135
ENSMUSG00000047977 23 27 60 179 1 0 0 2
ENSMUSG00000086274 6 0 8 11 0 0 0 0
ENSMUSG00000022066 2952 3210 3135 3759 71 76 74 98
ENSMUSG00000085092 440 407 328 404 15 9 13 19
ENSMUSG00000034205 223 202 257 329 24 15 36 26
ENSMUSG00000034194 2185 1771 1833 1859 50 42 33 45
ENSMUSG00000034190 1898 1700 1614 1753 28 39 28 31
ENSMUSG00000085243 169 250 110 183 3 4 1 3
ENSMUSG00000022074 638 512 556 568 36 22 25 16
ENSMUSG00000022075 2674 2926 2199 2196 87 72 46 70
ENSMUSG00000022085 0 0 0 0 0 0 0 0
ENSMUSG00000033730 55 52 55 22 7 5 8 4
ENSMUSG00000022089 2089 1722 2464 2114 43 28 45 56
ENSMUSG00000033712 8082 8049 8663 9238 137 179 180 238
ENSMUSG00000044551 410 334 293 489 7 8 5 10
ENSMUSG00000022090 1058 1066 1281 1269 26 29 30 50
ENSMUSG00000022091 2200 2222 2068 1904 48 57 30 33
ENSMUSG00000085557 0 11 2 17 0 0 3 0
ENSMUSG00000022092 321 559 353 603 2 9 6 15
ENSMUSG00000022094 1081 1142 674 856 28 24 16 27
ENSMUSG00000058745 208 240 158 153 0 1 2 5
ENSMUSG00000033644 46 64 33 32 0 3 0 0
ENSMUSG00000088717 0 0 0 0 0 0 0 0
ENSMUSG00000077577 0 0 0 0 0 0 0 0
ENSMUSG00000000776 1368 1306 1076 1378 41 29 29 36
ENSMUSG00000065528 0 0 4 0 0 0 0 0
ENSMUSG00000003469 111 91 12 32 3 0 1 0
ENSMUSG00000022098 1520 1766 1048 1384 42 63 24 42
ENSMUSG00000022097 0 0 0 0 0 0 0 0
ENSMUSG00000033595 0 1 0 5 0 0 0 0
ENSMUSG00000033589 2107 2213 1921 2260 34 33 35 50
ENSMUSG00000022096 51 71 63 101 2 6 5 7
ENSMUSG00000045211 835 742 944 832 23 21 23 30
ENSMUSG00000022095 1772 1852 1627 1938 36 48 52 48
ENSMUSG00000022099 285 173 99 32 4 3 2 0
ENSMUSG00000022101 0 2 11 11 1 0 1 0
ENSMUSG00000047911 27 34 43 54 0 0 3 2
ENSMUSG00000022100 4269 5233 5249 5605 131 95 133 146
ENSMUSG00000022102 2021 1604 3068 2994 33 36 48 68
ENSMUSG00000022103 53 19 39 38 1 0 0 0
ENSMUSG00000064485 0 0 0 0 0 0 0 0
ENSMUSG00000033487 4002 5327 3989 6665 105 126 109 205
ENSMUSG00000090216 0 6 6 0 0 0 5 1
ENSMUSG00000033470 365 517 136 148 9 4 4 4
ENSMUSG00000022106 2294 2434 1832 2055 36 41 43 52
ENSMUSG00000090706 1 0 0 0 0 1 0 0
ENSMUSG00000022105 1117 1309 1185 1464 21 33 24 34
ENSMUSG00000076121 0 0 0 0 0 0 0 0
ENSMUSG00000033446 651 1043 746 740 10 20 18 10
ENSMUSG00000022108 25725 23069 30524 27699 584 489 520 703
ENSMUSG00000022109 1054 999 913 1016 20 22 18 14
ENSMUSG00000033405 40 9 26 12 1 3 1 3
ENSMUSG00000022110 2354 1928 2030 1698 32 35 37 43
ENSMUSG00000064650 0 0 0 0 0 0 0 0
ENSMUSG00000075581 11 8 32 11 1 0 0 0
ENSMUSG00000089038 0 0 0 0 0 0 0 0
ENSMUSG00000057886 716 535 571 521 15 10 5 17
ENSMUSG00000034997 206 303 246 221 9 11 7 8
ENSMUSG00000021996 1545 1315 1445 1259 46 22 25 26
ENSMUSG00000068015 1397 1575 1296 1453 52 49 40 76
ENSMUSG00000034959 189 213 299 419 5 9 5 10
ENSMUSG00000021997 0 10 0 0 0 0 0 0
ENSMUSG00000021998 19859 20538 15900 15995 277 348 294 334
ENSMUSG00000089733 0 4 0 0 0 0 0 0
ENSMUSG00000090054 3 0 2 0 0 0 0 0
ENSMUSG00000021999 0 10 15 0 0 0 0 0
ENSMUSG00000022000 4131 4520 4160 4937 83 82 101 135
ENSMUSG00000091722 0 3 0 0 0 0 0 0
ENSMUSG00000034913 0 0 0 0 0 0 0 0
ENSMUSG00000022002 0 0 0 0 0 0 0 0
ENSMUSG00000064394 0 0 0 0 0 0 0 0
ENSMUSG00000034893 2111 2215 1894 2426 47 41 34 60
ENSMUSG00000089405 3 4 0 1 0 0 0 0
ENSMUSG00000022003 765 851 724 953 21 31 23 40
ENSMUSG00000085829 145 245 227 182 9 5 5 11
ENSMUSG00000060126 2291 3101 2397 2950 76 107 76 113
ENSMUSG00000065147 253 255 210 356 29 17 28 25
ENSMUSG00000067995 1330 900 1056 933 29 15 32 23
ENSMUSG00000046523 18 13 6 17 5 2 0 6
ENSMUSG00000065799 5 1 0 0 1 2 3 0
ENSMUSG00000022008 2665 2823 2501 2791 44 47 49 69
ENSMUSG00000022009 1178 1257 977 853 21 24 31 32
ENSMUSG00000075515 248 192 203 199 5 5 4 2
ENSMUSG00000022010 8201 10035 7849 9333 316 265 208 297
ENSMUSG00000085974 0 0 0 0 0 0 0 0
ENSMUSG00000052584 24 8 3 16 0 1 1 0
ENSMUSG00000044350 543 614 475 344 8 5 10 8
ENSMUSG00000034795 335 258 337 277 6 9 7 6
ENSMUSG00000022012 0 6 0 4 0 1 0 0
ENSMUSG00000063556 312 246 336 251 7 5 3 7
ENSMUSG00000067973 0 0 0 0 0 0 0 0
ENSMUSG00000084431 0 0 0 0 0 0 0 0
ENSMUSG00000089365 0 0 0 0 0 0 0 0
ENSMUSG00000075512 0 0 0 0 0 0 0 0
ENSMUSG00000022013 845 533 486 423 6 15 14 6
ENSMUSG00000022014 1600 1399 1328 1403 23 18 31 34
ENSMUSG00000092272 0 0 0 0 0 0 0 0
ENSMUSG00000045655 0 0 0 0 0 0 0 0
ENSMUSG00000087932 0 0 0 0 0 0 0 0
ENSMUSG00000080402 0 0 0 0 0 0 0 0
ENSMUSG00000022015 15 3 3 0 0 0 0 0
ENSMUSG00000092774 0 0 0 0 0 0 0 0
ENSMUSG00000022016 2881 3617 2169 2678 74 71 67 83
ENSMUSG00000034731 55 83 31 38 3 2 1 6
ENSMUSG00000084447 0 0 0 0 0 0 0 0
ENSMUSG00000058997 2513 2784 2068 2268 91 91 78 75
ENSMUSG00000071262 0 0 0 0 0 0 0 0
ENSMUSG00000022018 552 387 174 125 7 17 6 6
ENSMUSG00000022020 1163 1363 957 1249 28 28 25 32
ENSMUSG00000092854 2 0 0 0 0 0 1 0
ENSMUSG00000022022 463 394 508 445 7 16 7 12
ENSMUSG00000043881 1048 884 844 868 17 19 26 25
ENSMUSG00000075502 136 121 202 199 4 8 4 4
ENSMUSG00000022023 1703 1534 1334 1428 20 35 25 32
ENSMUSG00000036461 9212 9929 13884 16605 167 188 273 367
ENSMUSG00000022024 1780 1600 1578 1532 43 36 28 40
ENSMUSG00000022025 2 12 0 0 0 0 0 0
ENSMUSG00000076453 0 0 0 0 0 0 0 0
ENSMUSG00000036422 5 0 0 0 0 0 0 0
ENSMUSG00000075495 0 0 0 0 0 0 0 0
ENSMUSG00000075496 1 0 0 1 0 0 0 0
ENSMUSG00000022026 35 22 5 44 0 0 2 0
ENSMUSG00000089266 0 0 0 0 0 0 0 0
ENSMUSG00000088757 0 0 0 0 0 0 0 0
ENSMUSG00000088009 0 0 0 0 0 0 0 0
ENSMUSG00000035566 14 4 6 18 0 3 1 0
ENSMUSG00000064407 0 0 0 0 0 0 0 0
ENSMUSG00000087812 0 0 0 0 0 0 0 0
ENSMUSG00000022021 2396 2352 1849 1973 63 53 50 59
ENSMUSG00000088536 0 0 0 0 0 0 0 0
ENSMUSG00000022019 1422 1515 1327 1378 29 36 33 39
ENSMUSG00000062611 8508 6756 7976 5906 110 97 103 117
ENSMUSG00000089120 0 0 0 0 0 0 0 0
ENSMUSG00000050505 0 0 0 0 0 0 0 0
ENSMUSG00000088405 0 0 0 0 0 0 0 0
ENSMUSG00000077408 0 0 0 0 0 0 0 0
ENSMUSG00000062093 4918 4275 3319 2708 86 83 80 66
ENSMUSG00000077619 0 0 0 0 0 0 0 0
ENSMUSG00000088746 0 0 0 0 0 0 0 0
ENSMUSG00000077298 0 0 0 0 0 0 0 0
ENSMUSG00000055421 0 9 3 0 0 0 0 1
ENSMUSG00000065014 0 0 0 0 0 0 0 0
ENSMUSG00000088046 0 0 0 0 0 0 0 0
ENSMUSG00000089384 0 0 0 0 0 0 0 0
ENSMUSG00000034689 0 0 0 0 0 0 0 0
ENSMUSG00000022076 0 4 8 0 0 0 0 0
ENSMUSG00000083933 0 0 0 0 0 0 0 0
ENSMUSG00000065042 0 0 0 0 0 0 0 0
ENSMUSG00000064581 0 0 0 0 0 0 0 0
ENSMUSG00000089130 0 0 0 0 0 0 0 0
ENSMUSG00000088538 0 0 0 0 0 0 0 0
ENSMUSG00000089201 0 0 0 0 0 0 0 0
ENSMUSG00000055639 5711 6704 6308 9719 180 205 242 410
ENSMUSG00000089549 0 0 3 4 1 0 2 4
ENSMUSG00000086133 0 0 4 8 1 1 3 6
ENSMUSG00000089425 0 0 0 0 0 0 0 0
ENSMUSG00000065927 0 0 0 0 0 0 0 0
ENSMUSG00000060377 1125 820 888 683 22 20 19 28
ENSMUSG00000033186 3590 3324 3449 3226 38 31 35 55
ENSMUSG00000022070 2505 2215 2187 2674 48 37 32 65
ENSMUSG00000033166 2424 2826 2134 2306 62 31 44 53
ENSMUSG00000022064 452 484 659 589 16 11 9 30
ENSMUSG00000005148 449 398 443 462 40 24 19 22
ENSMUSG00000084700 0 0 0 0 0 0 0 0
ENSMUSG00000064584 0 0 0 0 0 0 0 0
ENSMUSG00000065238 0 0 0 0 0 0 0 0
ENSMUSG00000087144 0 0 0 0 0 0 0 0
ENSMUSG00000072294 330 568 19 78 6 14 3 2
ENSMUSG00000054391 0 4 0 0 0 0 0 0
ENSMUSG00000084991 0 0 0 0 0 0 0 0
ENSMUSG00000077353 0 0 0 0 0 0 0 0
ENSMUSG00000089331 0 0 0 0 0 0 0 0
ENSMUSG00000092668 0 0 0 0 0 0 0 0
ENSMUSG00000088160 0 0 0 0 0 0 0 0
ENSMUSG00000042888 0 0 0 0 0 0 0 0
ENSMUSG00000089041 0 0 0 0 0 0 0 0
ENSMUSG00000033083 1858 2569 1722 2033 62 75 75 75
ENSMUSG00000075486 814 727 689 657 12 5 8 10
ENSMUSG00000022111 582 398 531 371 15 14 11 10
ENSMUSG00000053821 12 8 3 0 0 0 0 1
ENSMUSG00000033060 607 626 605 515 54 38 34 28
ENSMUSG00000077605 0 0 0 0 0 0 0 0
ENSMUSG00000093633 0 0 0 0 0 0 0 0
ENSMUSG00000088971 0 0 0 0 0 2 0 1
ENSMUSG00000048107 4 12 6 19 0 0 1 0
ENSMUSG00000090648 12 35 69 78 1 0 3 5
ENSMUSG00000092901 32 44 53 90 1 3 5 9
ENSMUSG00000091668 4 6 4 2 0 0 0 0
ENSMUSG00000022126 13 7 53 48 2 0 1 2
ENSMUSG00000022125 1710 1523 1562 1622 35 24 30 36
ENSMUSG00000022124 3185 3621 3383 4454 60 81 66 129
ENSMUSG00000033004 10107 14437 8266 14753 326 399 368 506
ENSMUSG00000022123 23 49 35 59 2 0 2 3
ENSMUSG00000055717 2184 2347 1672 2038 39 52 33 40
ENSMUSG00000093192 0 0 0 0 0 0 0 0
ENSMUSG00000089707 37 42 38 56 2 7 5 2
ENSMUSG00000022122 4 11 5 0 0 0 0 0
ENSMUSG00000048349 12 0 0 4 0 0 0 1
ENSMUSG00000022120 1439 1712 1502 1435 28 38 32 40
ENSMUSG00000077541 0 0 0 0 0 0 0 0
ENSMUSG00000077719 0 0 0 0 0 0 0 0
ENSMUSG00000077425 0 0 0 0 0 0 0 0
ENSMUSG00000022119 3846 4929 3145 4882 76 100 84 166
ENSMUSG00000091509 251 259 184 274 5 5 5 6
ENSMUSG00000064411 0 0 0 0 0 0 0 0
ENSMUSG00000053253 1093 1154 1029 1145 40 36 21 39
ENSMUSG00000064715 0 0 0 0 0 0 0 0
ENSMUSG00000086260 0 0 0 0 0 0 0 0
ENSMUSG00000022116 0 0 0 0 0 0 0 0
ENSMUSG00000087212 0 0 0 0 0 0 0 0
ENSMUSG00000060143 640 513 553 475 14 11 19 14
ENSMUSG00000092664 0 0 0 0 0 0 0 0
ENSMUSG00000022114 721 754 809 955 20 16 22 33
ENSMUSG00000071244 0 0 0 0 0 0 0 0
ENSMUSG00000090538 0 0 0 0 0 0 0 0
ENSMUSG00000022113 0 0 0 0 0 0 0 0
ENSMUSG00000065193 0 0 0 0 0 0 0 0
ENSMUSG00000071243 0 0 0 0 0 0 0 0
ENSMUSG00000089297 0 0 0 0 0 0 0 0
ENSMUSG00000091723 11 2 0 8 0 0 0 0
ENSMUSG00000077224 0 0 0 0 0 0 0 0
ENSMUSG00000092834 0 0 0 0 0 0 0 0
ENSMUSG00000089455 0 0 0 0 0 0 0 0
ENSMUSG00000058430 0 0 0 0 0 0 0 0
ENSMUSG00000075478 0 0 0 0 0 0 0 0
ENSMUSG00000089119 0 0 0 0 0 0 0 0
ENSMUSG00000093128 0 0 0 0 0 0 0 0
ENSMUSG00000065102 0 0 0 0 0 0 0 0
ENSMUSG00000064989 0 0 0 0 0 0 0 0
ENSMUSG00000065268 0 0 0 0 0 0 0 0
ENSMUSG00000084441 0 0 0 0 0 0 0 0
ENSMUSG00000045871 0 0 0 0 0 0 0 0
ENSMUSG00000060796 0 0 0 0 0 0 0 0
ENSMUSG00000093362 0 0 0 0 0 0 0 0
ENSMUSG00000033214 0 0 0 0 0 0 0 0
ENSMUSG00000088995 0 0 0 0 0 0 0 0
ENSMUSG00000058953 0 0 0 0 0 0 0 0
ENSMUSG00000058126 7361 6175 7301 6322 145 127 108 124
ENSMUSG00000086415 0 0 0 0 0 0 0 0
ENSMUSG00000088802 0 0 0 0 0 0 0 0
ENSMUSG00000089726 685 887 725 1049 25 18 17 28
ENSMUSG00000065508 0 0 0 0 0 0 0 0
ENSMUSG00000065403 0 0 0 0 0 0 0 0
ENSMUSG00000065416 0 0 0 0 0 0 0 0
ENSMUSG00000065442 0 0 0 0 0 0 0 0
ENSMUSG00000076256 0 0 0 0 0 0 0 0
ENSMUSG00000076062 0 0 0 0 0 0 0 0
ENSMUSG00000022112 1 0 0 0 1 1 0 0
ENSMUSG00000093551 0 0 0 0 0 0 0 0
ENSMUSG00000093589 0 0 1 1 0 0 0 0
ENSMUSG00000093497 0 0 0 0 0 0 0 0
ENSMUSG00000058571 18 8 1 10 0 1 1 1
ENSMUSG00000022129 0 0 0 0 0 0 0 0
ENSMUSG00000085191 45 93 36 95 0 4 0 6
ENSMUSG00000022130 520 705 397 488 8 10 7 18
ENSMUSG00000022131 700 886 806 745 17 16 21 22
ENSMUSG00000061517 5 8 30 96 0 0 1 1
ENSMUSG00000090534 0 0 8 0 0 0 0 0
ENSMUSG00000092109 0 0 0 0 0 0 0 0
ENSMUSG00000088095 0 0 0 0 0 0 0 0
ENSMUSG00000091690 0 0 0 0 0 0 0 0
ENSMUSG00000032849 2948 3293 5607 5394 124 83 161 191
ENSMUSG00000064644 0 0 4 0 0 1 0 0
ENSMUSG00000088105 0 0 19 0 0 0 0 1
ENSMUSG00000022132 29 6 5 28 0 0 1 1
ENSMUSG00000077661 0 0 0 0 0 0 0 0
ENSMUSG00000042156 233 379 173 182 3 6 3 4
ENSMUSG00000022136 4508 4496 4826 4428 91 75 95 118
ENSMUSG00000042104 167 156 116 129 3 4 5 1
ENSMUSG00000087479 0 0 0 0 0 0 0 0
ENSMUSG00000053465 0 0 0 0 0 0 0 0
ENSMUSG00000044819 0 0 0 0 0 0 0 0
ENSMUSG00000022139 3090 3622 2843 3941 72 82 63 103
ENSMUSG00000086510 13 19 0 17 1 6 2 3
ENSMUSG00000051615 1104 1217 1041 903 30 19 8 30
ENSMUSG00000090284 0 0 0 0 0 0 0 0
ENSMUSG00000084476 0 0 0 0 0 0 0 0
ENSMUSG00000030662 14910 13354 12065 10180 267 243 228 245
ENSMUSG00000025555 384 333 439 425 30 31 23 23
ENSMUSG00000085133 8 20 25 9 2 1 1 0
ENSMUSG00000063410 9990 9345 8196 8282 204 170 157 184
ENSMUSG00000025557 31 6 1 9 0 0 0 1
ENSMUSG00000025558 1348 1536 2820 5295 50 40 95 163
ENSMUSG00000041765 2377 2214 1830 1856 53 57 33 62
ENSMUSG00000050350 19 61 38 38 4 6 1 1
ENSMUSG00000051212 54 40 28 15 1 5 2 3
ENSMUSG00000071229 0 0 5 0 0 0 0 0
ENSMUSG00000085615 96 66 107 43 4 6 2 1
ENSMUSG00000025544 5496 5580 5608 4858 102 86 117 108
ENSMUSG00000066538 111 79 85 77 0 2 1 4
ENSMUSG00000090674 16 11 28 32 3 4 1 5
ENSMUSG00000025545 598 451 316 289 7 8 5 15
ENSMUSG00000093222 0 0 0 0 0 0 1 0
ENSMUSG00000064052 0 0 0 0 0 0 0 0
ENSMUSG00000041703 0 0 0 0 0 0 0 0
ENSMUSG00000085555 0 0 0 0 0 0 0 0
ENSMUSG00000061524 3 0 0 0 0 0 0 0
ENSMUSG00000075465 0 0 0 0 0 0 0 0
ENSMUSG00000093669 0 0 0 0 0 0 0 0
ENSMUSG00000041650 1598 1350 1156 1011 35 33 35 32
ENSMUSG00000041625 828 596 575 455 20 14 7 7
ENSMUSG00000075463 32 20 7 18 2 0 0 0
ENSMUSG00000041594 569 655 690 678 26 22 16 14
ENSMUSG00000085423 0 6 0 3 0 0 0 2
ENSMUSG00000000197 0 0 0 0 0 0 0 0
ENSMUSG00000032925 0 2 0 0 0 0 0 0
ENSMUSG00000082793 6 11 0 1 1 1 0 1
ENSMUSG00000077481 0 0 0 0 0 0 0 0
ENSMUSG00000025551 0 0 0 0 0 0 0 0
ENSMUSG00000082738 5 6 2 3 0 0 0 0
ENSMUSG00000090286 0 0 0 0 0 0 0 0
ENSMUSG00000064373 8200 7836 10184 10087 357 208 210 230
ENSMUSG00000091119 12 12 34 36 0 1 1 4
ENSMUSG00000055737 355 289 288 338 16 7 3 11
ENSMUSG00000080595 0 0 0 0 0 0 0 0
ENSMUSG00000087921 0 0 0 0 0 0 0 0
ENSMUSG00000022184 461 531 548 458 16 9 8 10
ENSMUSG00000041935 2143 2642 2193 3069 50 39 40 64
ENSMUSG00000087697 2 1 0 13 0 0 0 0
ENSMUSG00000087221 66 97 48 55 4 4 7 3
ENSMUSG00000022186 7986 7220 5988 4926 114 123 116 113
ENSMUSG00000086297 0 0 0 0 0 0 0 1
ENSMUSG00000049148 0 0 0 0 0 0 0 0
ENSMUSG00000022181 3 0 0 0 0 0 0 0
ENSMUSG00000022155 0 0 0 0 0 0 0 0
ENSMUSG00000079105 9 0 20 33 0 0 0 2
ENSMUSG00000065714 0 0 0 0 0 0 0 0
ENSMUSG00000080720 0 0 0 0 0 0 0 0
ENSMUSG00000041849 124 221 177 224 6 2 2 10
ENSMUSG00000041841 251 251 216 177 11 7 6 3
ENSMUSG00000077737 22 46 45 57 2 2 1 4
ENSMUSG00000068706 2355 1890 2155 1710 48 24 25 33
ENSMUSG00000050697 2439 2621 2131 2426 49 50 40 60
ENSMUSG00000087532 1 0 1 0 0 1 0 0
ENSMUSG00000022151 1155 1176 1251 1503 29 22 25 41
ENSMUSG00000039942 1196 1546 635 1177 22 53 14 46
ENSMUSG00000084024 0 4 0 0 0 0 0 0
ENSMUSG00000077405 0 0 0 0 0 0 0 0
ENSMUSG00000022150 60 12 33 14 0 0 0 0
ENSMUSG00000089771 0 0 0 0 0 0 0 0
